day,day_type,checkin,checkout
1,NOR,07:20,15:32
2,NOR,08:12,14:05
3,NOR,07:45,17:19
4,WE,-,-
5,WE,-,-
6,NOR,08:35,18:40
7,NOR,08:35,17:12
8,NOR,08:00,15:30
9,NOR,07:20,14:02
10,NOR,07:58,17:34
11,WE,-,-
12,WE,-,-
13,NOR,07:50,18:50
14,NOR,07:40,12:39
15,NOR,07:30,15:35
16,NOR,07:20,14:00
17,NOR,07:30,12:13
18,WE,-,-
19,WE,-,-
20,NOR,07:48,18:47
21,NOR,08:05,18:19
22,NOR,08:15,14:40
23,NOR,09:05,14:53
24,NOR,08:00,17:57
25,WE,-,-
26,WE,-,-
27,NOR,08:45,18:50
28,NOR,07:52,15:02
29,NOR,07:50,16:29
30,NOR,08:16,15:17
31,NOR,07:49,16:18
